lh_or_rh,height,pitchtype,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,187.0,1.0,1.000,0.833,0.500,1.000,1.000,0.333,0.300,0.500,0.417,0.800,0.429,0.400,0.438,0.300,0.500,0.571,0.400,0.333,0.313,1.000,1.000,0.500,0.333,0.667,0.286
1,187.0,2.0,0.529,0.458,0.25,0.375,0.625,0.500,0.000,0.4,0.368,0.000,0.000,0.433,0.500,0.500,0.563,0.462,0.375,0.000,1.000,1.0,0.000,0.000,0.462,0.667,0.375
1,187.0,3.0,0.333,0.333,0.000,0.000,0.625,0.200,0.333,0.750,0.500,0.667,0.667,0.500,0.500,0.500,1.000,0.462,0.000,0.000,0.000,1.0,0.857,0.333,0.462,0.667,0.375
1,187.0,4.0,0.286,0.444,0.333,0.000,0.000,0.385,0.222,0.200,0.000,0.667,0.286,0.500,0.500,0.286,0.500,0.500,0.667,0.500,0.167,1.0,1.000,0.333,1.000,0.667,0.375
1,187.0,5.0,0.529,0.333,0.000,0.375,0.500,0.000,0.500,0.333,0.000,0.667,0.000,0.167,1.000,0.303,1.000,0.000,0.000,1.000,0.000,1.0,0.857,0.333,0.462,0.667,1.000
1,187.0,6.0,0.529,0.000,0.200,0.500,1.000,0.313,0.3,0.000,0.000,0.667,0.364,0.433,1.000,0.000,0.000,0.462,1.000,0.000,1.000,1.0,0.857,0.333,0.500,0.667,0.375
1,185.0,0.0,0.0,0.6,0.167,0.3396086956521739,1.0,0.333,0.000,0.333,0.0,0.667,1.000,0.000,1.000,0.125,0.0,1.0,0.4,0.000,0.0,0.0,0.3396086956521739,1.0,0.0,0.667,0.0
1,185.0,1.0,0.0,1.000,1.000,0.3396086956521739,1.0,0.333,0.000,0.250,0.000,1.000,0.75,0.200,0.800,0.000,0.0,1.0,0.500,0.000,0.0,0.0,0.3396086956521739,1.0,0.000,0.667,0.0
1,185.0,2.0,0.0,1.000,0.000,0.3396086956521739,1.0,0.333,0.125,0.25,0.0,0.000,0.75,0.091,0.000,0.125,0.000,1.0,0.000,0.000,0.0,0.0,0.3396086956521739,1.0,0.0,0.667,0.0
1,185.0,3.0,0.0,0.6,0.000,0.3396086956521739,1.0,0.333,0.000,0.000,0.0,0.667,0.000,0.091,0.000,0.125,0.0,1.0,0.4,0.000,0.0,0.0,0.3396086956521739,1.0,0.0,0.667,0.0
