lh_or_rh,height,bc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,185.0,1.0,0.833,0.375,0.800,0.833,1.000,0.375,0.333,0.429,0.167,1.000,0.400,0.231,0.364,0.625,0.600,0.000,0.400,0.333,0.333,0.500,0.38766666666666666,0.750,0.750,0.625,1.000
1,185.0,2.0,0.000,0.000,0.200,0.417,1.0,0.000,0.133,0.200,0.200,0.667,0.250,0.429,0.368,0.333,0.400,0.000,0.286,0.333,0.538,0.000,0.38766666666666666,0.500,0.333,0.000,1.000
1,185.0,0.0,0.143,0.000,0.188,0.000,0.500,0.182,0.188,0.250,0.143,0.500,0.500,0.364,0.100,0.333,0.400,0.250,0.273,0.167,0.400,0.333,0.5,0.000,0.000,0.000,0.75
1,185.0,1.0,0.875,0.500,0.500,1.000,1.000,0.714,0.429,0.333,0.800,1.000,0.286,0.333,0.625,0.333,0.667,0.429,0.333,0.400,0.417,0.600,1.000,0.714,0.600,1.000,0.800
1,185.0,2.0,0.000,0.000,0.100,0.200,0.75,0.400,0.429,0.263,0.429,0.667,0.125,0.588,0.214,0.308,0.333,0.000,0.143,0.111,0.400,0.333,0.000,0.556,0.000,0.333,0.667
1,185.0,0.0,0.100,0.000,0.111,0.333,0.5,0.231,0.409,0.111,0.000,0.000,0.100,0.400,0.222,0.083,0.000,0.333,0.250,0.556,0.143,0.500,0.000,0.000,0.000,0.000,0.000
1,185.0,1.0,0.875,0.333,0.833,1.000,1.000,0.333,0.235,0.636,0.273,1.000,0.500,0.313,0.556,0.250,1.000,0.800,0.300,0.200,0.286,1.000,1.000,1.000,0.500,0.500,0.9
1,185.0,2.0,0.000,0.286,0.200,0.000,0.000,0.500,0.250,0.417,0.667,0.250,0.500,0.467,0.438,0.500,0.500,0.333,0.429,0.133,0.200,0.500,0.2,0.500,0.000,1.000,1.000
1,185.0,0.0,0.000,0.000,0.091,0.000,1.0,0.286,0.250,0.267,0.250,0.000,0.222,0.167,0.375,0.200,0.000,0.500,0.167,0.000,0.000,0.600,0.000,0.000,0.000,0.000,1.000
1,185.0,1.0,1.000,1.000,0.444,0.000,1.0,0.625,0.286,0.357,0.286,1.000,0.417,0.455,0.444,0.200,0.667,0.273,0.429,0.182,0.100,1.000,0.800,0.500,0.571,0.800,0.667
1,185.0,2.0,0.000,0.000,0.333,0.333,1.000,0.222,0.143,0.500,0.500,0.000,0.250,0.222,0.500,0.167,1.000,0.571,0.429,0.286,0.667,0.500,0.000,0.200,0.000,0.000,1.000
1,185.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.308,0.143,0.000,0.000,0.000,0.222,0.429,0.222,1.000,0.000,0.429,0.125,0.000,0.500,1.0,0.375,0.000,0.000,1.000
1,185.0,1.0,0.750,0.857,0.333,0.750,1.000,0.600,0.500,0.286,0.333,1.000,0.538,0.571,0.500,0.500,0.700,1.000,0.333,0.333,0.000,0.625,1.000,0.500,1.000,0.667,1.000
1,185.0,2.0,0.000,0.100,0.000,0.5,0.5,0.200,0.000,0.278,0.000,1.000,0.000,0.167,0.375,0.214,1.000,0.333,0.250,0.500,0.250,0.000,1.0,0.250,0.600,0.000,0.500
1,185.0,0.0,0.000,0.000,0.000,0.200,1.000,0.000,0.333,0.100,0.154,0.000,0.273,0.700,0.545,0.143,0.250,0.667,0.000,0.364,0.286,0.500,0.000,0.889,0.000,0.500,1.000
1,185.0,1.0,1.000,0.714,0.375,1.000,1.000,0.500,0.333,0.316,0.308,0.667,0.625,0.389,0.500,0.167,0.900,0.375,0.429,0.500,0.500,0.600,1.000,1.000,0.667,0.600,1.000
1,185.0,2.0,0.000,0.167,0.667,0.333,0.000,0.000,0.263,0.385,0.333,0.333,0.250,0.471,0.083,0.235,0.333,0.600,0.167,0.375,0.455,0.667,0.000,0.500,0.000,1.000,1.000
1,185.0,0.0,0.000,0.000,0.000,0.000,0.500,0.286,0.500,0.444,0.500,1.0,0.333,0.571,0.375,0.273,0.000,0.000,0.375,0.625,0.250,0.600,0.000,0.000,0.000,0.000,1.000
1,185.0,1.0,0.800,0.636,0.500,0.750,1.000,0.625,0.636,0.350,0.231,1.000,0.700,0.429,0.357,0.733,0.625,0.600,0.143,0.500,0.333,0.875,0.0,0.750,0.600,0.600,1.000
